Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
108.0,9,Louisiana,8,39,54,,Apr 21,,,,,,,,Zogby-9
108.0,9,Maine,4,45,46,,Apr 21,,,,,,,,Zogby-9
 41.0,9,Maine,4,32,38,,Feb 14,,,,,,,,Pan Atlantic Research-9
128.0,3,Maryland,10,56,35,,May 08,,,,,,,,Emerson Coll.-3
127.5,2,Maryland,10,60,32,,May 07,,,,,,,,PPP-2
108.0,9,Maryland,10,58,34,,Apr 21,,,,,,,,Zogby-9
 43.5,2,Maryland,10,55,32,,Feb 13,,,,,,,,Emerson Coll.-2
 29.5,14,Maryland,10,53,32,,Feb 05,,,,,,,,Gonzales Research-14
109.0,5,Massachusetts,11,52,22,,Apr 20,,,,,,,,Suffolk U.-5
108.0,9,Massachusetts,11,55,36,,Apr 21,,,,,,,,Zogby-9
 36.0,5,Massachusetts,11,45,26,,Feb 07,,,,,,,,Suffolk U.-5
124.5,12,Michigan,15,47,46,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Michigan,15,48,52,,Apr 29,,,,,,,,Emerson Coll.-5
113.0,7,Michigan,15,51,49,,Apr 25,,,,,,,,YouGov-7
108.0,9,Michigan,15,48,45,,Apr 21,,,,,,,,Zogby-9
104.5,6,Michigan,15,46,49,,Apr 16,,,,,,,,Beacon + Shaw for Fox-6
101.5,6,Michigan,15,47,45,,Apr 13,,,,,,,,Morning Consult-6
100.5,4,Michigan,15,36,42,,Apr 11,,,,,,,,Marketing Resource Grp.-4
 80.5,8,Michigan,15,45,48,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 76.0,5,Michigan,15,50,50,,Mar 18,,,,,,,,Emerson Coll.-5
 75.5,6,Michigan,15,42,50,,Mar 18,,,,,,,,SSRS for CNN-6
 70.0,5,Michigan,15,45,45,,Mar 12,,,,,,,,Morning Consult-5
 70.0,5,Michigan,15,45,48,,Mar 12,,,,,,,,Quinnipiac U.-5
 53.0,5,Michigan,15,44,46,,Feb 24,,,,,,,,Emerson Coll.-5
 47.0,9,Michigan,15,44,46,,Feb 20,,,,,,,,Morning Consult-9
 46.5,6,Michigan,15,41,45,,Feb 18,,,,,,,,EPIC-MRA-6
 41.0,5,Michigan,15,45,47,,Feb 12,,,,,,,,Beacon+Shaw for Fox-5
  4.0,5,Michigan,15,39,47,,Jan 06,,,,,,,,Glengariff Group-5
  3.0,3,Michigan,15,44,47,,Jan 04,,,,,,,,Zogby-3
130.5,4,Minnesota,10,44,42,,May 11,,,,,,,,SurveyUSA-4
108.0,9,Minnesota,10,46,44,,Apr 21,,,,,,,,Zogby-9
 96.0,5,Minnesota,10,44,42,,Apr 07,,,,,,,,SurveyUSA-5
 61.5,4,Minnesota,10,46,39,,Mar 03,,,,,,,,Florida Atlantic U.-4
 56.5,6,Minnesota,10,42,38,,Feb 28,,,,,,,,SurveyUSA-6
 26.5,6,Minnesota,10,42,39,,Jan 29,,,,,,,,SurveyUSA-6
108.0,9,Mississippi,6,42,51,,Apr 21,,,,,,,,Zogby-9
108.0,9,Missouri,10,43,49,,Apr 21,,,,,,,,Zogby-9
 25.5,6,Missouri,10,32,49,,Jan 28,,,,,,,,Emerson Coll.-6
108.0,9,Montana,4,34,59,,Apr 21,,,,,,,,Zogby-9
 59.5,6,Montana,4,35,56,,Mar 02,,,,,,,,Emerson Coll.-6
 44.5,4,Montana,4,29,51,,Feb 15,,,,,,,,SurveyUSA-4
115.5,2,Nebraska,5,34,57,,Apr 25,,,,,,,,PPP-2
108.0,9,Nebraska,5,39,50,,Apr 21,,,,,,,,Zogby-9
124.5,12,Nevada,6,38,51,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Nevada,6,49,51,,Apr 29,,,,,,,,Emerson Coll.-5
108.0,9,Nevada,6,44,50,,Apr 21,,,,,,,,Zogby-9
101.5,6,Nevada,6,43,51,,Apr 13,,,,,,,,Morning Consult-6
 80.5,8,Nevada,6,44,48,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 73.5,4,Nevada,6,49,51,,Mar 15,,,,,,,,Emerson Coll.-4
 71.5,8,Nevada,6,44,46,,Mar 15,,,,,,,,Morning Consult-8
 61.0,9,Nevada,6,40,45,,Mar 05,,,,,,,,Noble Predictive Insights-9
 48.5,4,Nevada,6,40,46,,Feb 19,,,,,,,,Emerson Coll.-4
 47.0,9,Nevada,6,42,48,,Feb 20,,,,,,,,Morning Consult-9
 18.5,6,Nevada,6,40,48,,Jan 21,,,,,,,,Morning Consult-6
108.0,9,New Hampshire,4,48,44,,Apr 21,,,,,,,,Zogby-9
 16.0,3,New Hampshire,4,52,45,,Jan 17,,,,,,,,Marist Coll.-3
  5.0,5,New Hampshire,4,42,34,,Jan 07,,,,,,,,Suffolk U.-5
108.0,9,New Jersey,14,51,42,,Apr 21,,,,,,,,Zogby-9
 87.5,4,New Jersey,14,46,39,,Mar 29,,,,,,,,Emerson Coll.-4
108.0,9,New Mexico,5,49,42,,Apr 21,,,,,,,,Zogby-9
108.0,9,New York,28,48,42,,Apr 21,,,,,,,,Zogby-9
107.0,3,New York,28,47,37,,Apr 17,,,,,,,,Siena Coll.-3
 44.0,3,New York,28,48,36,,Feb 14,,,,,,,,Siena Coll.-3
 15.5,4,New York,28,46,37,,Jan 17,,,,,,,,Siena Coll.-4
118.0,5,North Carolina,16,48,52,,Apr 29,,,,,,,,Emerson Coll.-5
108.0,9,North Carolina,16,45,49,,Apr 21,,,,,,,,Zogby-9
105.0,7,North Carolina,16,39,41,,Apr 17,,,,,,,,Meredith Coll.-7
102.0,5,North Carolina,16,43,49,,Apr 13,,,,,,,,Mason Dixon-5
101.5,6,North Carolina,16,41,51,,Apr 13,,,,,,,,Morning Consult-6
 97.0,5,North Carolina,16,46,48,,Apr 08,,,,,,,,Quinnipiac U.-5
 86.0,9,North Carolina,16,42,45,,Mar 30,,,,,,,,High Point University-9
 80.5,8,North Carolina,16,43,49,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 79.0,1,North Carolina,16,44,45,,Mar 19,,,,,,,,YouGov-1
 72.5,4,North Carolina,16,48,51,,Mar 14,,,,,,,,Marist Coll.-4
 70.0,5,North Carolina,16,43,49,,Mar 12,,,,,,,,Morning Consult-5
 66.0,7,North Carolina,16,45,50,,Mar 09,,,,,,,,SurveyUSA-7
 61.0,5,North Carolina,16,40,54,,Mar 03,,,,,,,,Florida Atlantic U.-5
 47.0,9,North Carolina,16,41,50,,Feb 20,,,,,,,,Morning Consult-9
 46.0,3,North Carolina,16,44,47,,Feb 16,,,,,,,,Emerson Coll.-3
 41.0,5,North Carolina,16,45,50,,Feb 12,,,,,,,,Beacon+Shaw for Fox-5
108.0,9,North Dakota,3,37,55,,Apr 21,,,,,,,,Zogby-9
108.0,9,Ohio,17,42,52,,Apr 21,,,,,,,,Zogby-9
 73.0,1,Ohio,17,40,51,,Mar 13,,,,,,,,Florida Atlantic U.-1
 69.5,4,Ohio,17,38,48,,Mar 11,,,,,,,,East Carolina U.-4
 68.5,4,Ohio,17,45,55,,Mar 10,,,,,,,,Emerson Coll.-4
 68.5,6,Ohio,17,38,50,,Mar 11,,,,,,,,SurveyUSA-6
 24.0,3,Ohio,17,36,47,,Jan 25,,,,,,,,Emerson Coll.-3
108.0,9,Oklahoma,7,40,53,,Apr 21,,,,,,,,Zogby-9
108.0,9,Oregon,8,47,44,,Apr 21,,,,,,,,Zogby-9
105.5,4,Oregon,8,54,34,,Apr 16,,,,,,,,Civiqs-4
124.5,12,Pennsylvania,19,45,48,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Pennsylvania,19,49,51,,Apr 29,,,,,,,,Emerson Coll.-5
118.0,7,Pennsylvania,19,45,49,,Apr 30,,,,,,,,Fabrizio + Anzalone-7
118.0,7,Pennsylvania,19,45,49,,Apr 30,,,,,,,,Fabrizio/Anzalone-7
113.0,7,Pennsylvania,19,49,50,,Apr 25,,,,,,,,YouGov-7
111.0,11,Pennsylvania,19,41,44,,Apr 25,,,,,,,,Muhlenberg Coll.-11
108.0,9,Pennsylvania,19,50,45,,Apr 21,,,,,,,,Zogby-9
104.5,6,Pennsylvania,19,48,48,,Apr 16,,,,,,,,Beacon + Shaw for Fox-6
101.5,6,Pennsylvania,19,46,47,,Apr 13,,,,,,,,Morning Consult-6
 85.5,12,Pennsylvania,19,48,38,,Mar 31,,,,,,,,Franklin + Marshall Coll.-12
 80.5,8,Pennsylvania,19,44,47,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 75.5,6,Pennsylvania,19,46,46,,Mar 18,,,,,,,,SSRS for CNN-6
 71.5,4,Pennsylvania,19,48,52,,Mar 13,,,,,,,,Emerson Coll.-4
 70.0,5,Pennsylvania,19,45,45,,Mar 12,,,,,,,,Morning Consult-5
 69.0,5,Pennsylvania,19,47,49,,Mar 11,,,,,,,,Beacon + Shaw for Fox-5
 69.0,5,Pennsylvania,19,47,49,,Mar 11,,,,,,,,Beacon+Shaw for Fox-5
 47.0,9,Pennsylvania,19,43,49,,Feb 20,,,,,,,,Morning Consult-9
 22.5,12,Pennsylvania,19,43,42,,Jan 28,,,,,,,,Franklin + Marshall Coll.-12
108.0,9,Rhode Island,4,48,43,,Apr 21,,,,,,,,Zogby-9
108.0,9,South Carolina,9,40,52,,Apr 21,,,,,,,,Zogby-9
 46.0,3,South Carolina,9,37,51,,Feb 16,,,,,,,,Emerson Coll.-3
 37.0,9,South Carolina,9,35,50,,Feb 10,,,,,,,,Winthrop U.-9
 35.5,8,South Carolina,9,36,54,,Feb 08,,,,,,,,Florida Atlantic U.-8
108.0,9,South Dakota,3,32,60,,Apr 21,,,,,,,,Zogby-9
 25.5,6,South Dakota,3,26,55,,Jan 28,,,,,,,,Emerson Coll.-6
108.0,9,Tennessee,11,35,59,,Apr 21,,,,,,,,Zogby-9
 84.0,19,Tennessee,11,31,55,,Apr 02,,,,,,,,Targoz Market Research-19
 61.5,4,Tennessee,11,34,59,,Mar 03,,,,,,,,Florida Atlantic U.-4
108.0,9,Texas,40,40,50,,Apr 21,,,,,,,,Zogby-9
108.0,11,Texas,40,40,48,,Apr 22,,,,,,,,U. of Texas-11
 98.5,6,Texas,40,36,48,,Apr 10,,,,,,,,Texas Hispanic Policy Foundation-6
 79.5,4,Texas,40,44,55,,Mar 21,,,,,,,,Marist Coll.-4
 61.5,4,Texas,40,42,51,,Mar 03,,,,,,,,Florida Atlantic U.-4
 53.0,9,Texas,40,42,46,,Feb 26,,,,,,,,U. of Texas-9
 43.0,21,Texas,40,41,48,,Feb 22,,,,,,,,YouGov-21
 17.5,14,Texas,40,40,49,,Jan 24,,,,,,,,U. of Houston-14
 14.0,3,Texas,40,41,49,,Jan 15,,,,,,,,Emerson Coll.-3
108.0,9,Utah,6,43,46,,Apr 21,,,,,,,,Zogby-9
103.0,9,Utah,6,23,47,,Apr 16,,,,,,,,Noble Predictive Insights-9
 61.5,4,Utah,6,38,46,,Mar 03,,,,,,,,Florida Atlantic U.-4
 18.5,6,Utah,6,34,47,,Jan 21,,,,,,,,Dan Jones-6
108.0,9,Vermont,3,56,35,,Apr 21,,,,,,,,Zogby-9
 61.5,4,Vermont,3,59,28,,Mar 03,,,,,,,,Florida Atlantic U.-4
119.0,1,Virginia,13,43,42,,Apr 28,,,,,,,,Fabrizio + Anzalone-1
108.0,9,Virginia,13,45,45,,Apr 21,,,,,,,,Zogby-9
 61.5,4,Virginia,13,49,42,,Mar 03,,,,,,,,Florida Atlantic U.-4
 46.0,9,Virginia,13,47,43,,Feb 19,,,,,,,,Roanoke Coll.-9
108.0,9,Washington,12,52,40,,Apr 21,,,,,,,,Zogby-9
105.5,4,Washington,12,54,39,,Apr 16,,,,,,,,Civiqs-4
 44.5,2,Washington,12,54,38,,Feb 14,,,,,,,,PPP-2
108.0,9,West Virginia,4,31,63,,Apr 21,,,,,,,,Zogby-9
125.0,5,Wisconsin,10,50,44,,May 06,,,,,,,,Quinnipiac U.-5
124.5,12,Wisconsin,10,46,47,,May 09,,,,,,,,Siena Coll.-12
118.0,5,Wisconsin,10,48,52,,Apr 29,,,,,,,,Emerson Coll.-5
113.0,7,Wisconsin,10,49,50,,Apr 25,,,,,,,,YouGov-7
108.0,9,Wisconsin,10,46,48,,Apr 21,,,,,,,,Zogby-9
104.5,6,Wisconsin,10,48,48,,Apr 16,,,,,,,,Beacon + Shaw for Fox-6
101.5,6,Wisconsin,10,44,48,,Apr 13,,,,,,,,Morning Consult-6
 97.5,8,Wisconsin,10,49,51,,Apr 10,,,,,,,,Marquette Law School-8
 80.5,8,Wisconsin,10,46,46,,Mar 24,,,,,,,,Fabrizio + GBAO-8
 76.0,5,Wisconsin,10,43,46,,Mar 18,,,,,,,,Emerson Coll.-5
 71.0,7,Wisconsin,10,46,45,,Mar 14,,,,,,,,Morning Consult-7
 53.0,5,Wisconsin,10,42,45,,Feb 24,,,,,,,,Emerson Coll.-5
 47.0,9,Wisconsin,10,42,46,,Feb 20,,,,,,,,Morning Consult-9
 28.0,5,Wisconsin,10,47,47,,Jan 30,,,,,,,,Beacon + Shaw for Fox-5
 27.5,8,Wisconsin,10,47,45,,Jan 31,,,,,,,,Marquette Law School-8
108.0,9,Wyoming,3,26,67,,Apr 21,,,,,,,,Zogby-9
